Question number,Annotation 1,Annotation 2,Annotation 3,Annotation 4,Annotation 5,,,,,,,,,
176,Define sexual reproduction as the process involving the fusion of nuclei to form a zygote and the production of genetically dissimilar offspring,State the functions of the membrane systems and organelles identified above,Water pollution by sewage and by inorganic waste ,Cell surface membrane,State the roles of water in living organisms,,,,,,,,,
177,Define excretion and explain the importance of removing nitrogenous and other compounds from the body,,,,,,,,,,,,,
178,List the different ABO blood groups and all possible combinations for the donor and recipient in blood transfusions,Use genetic diagrams to solve problems involving monohybrid inheritance (genetic diagrams involving autosomal linkage or epistasis are not required) ,Reducing sugars (Benedict's solution),Glycogen from glucose,"Platelets – fibrinogen to fibrin, causing clotting",,,,,,,,,
179,"Identify on diagrams, the female reproductive system and give the functions of: ovaries, oviducts, uterus, cervix and vagina ","State that the nervous system – brain, spinal cord and nerves, serves to co-ordinate and regulate bodily functions ",,,,,,,,,,,,
180,"Identify the positions and explain the functions of xylem vessels, phloem (sieve tube elements and companion cells) in sections of a herbaceous dicotyledonous leaf and stem, using the light microscope",Describe the structure of the eye as seen in front view and in horizontal section,"State that variation and competition lead to differential survival of, and reproduction by, those organisms best fitted to the environment ",Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ,,,,,,,,,,
181,Describe and interpret pyramids of numbers and biomass ,Define sexual reproduction as the process involving the fusion of nuclei to form a zygote and the production of genetically dissimilar offspring,Describe the growth of the pollen tube and its entry into the ovule followed by fertilisation (production of endosperm and details of development are not required) ,Polypeptides and proteins from amino acids,"Explain how energy losses occur along food chains, and discuss the efficiency of energy transfer between trophic levels",,,,,,,,,
182,Outline the process of pollination and distinguish between self-pollination and cross-pollination,Describe the transfer of materials between capillaries and tissue fluid,"Describe the role of cilia, diaphragm, ribs and intercostal muscles in breathing","Explain the terms producer, consumer and trophic level in the context of food chains and food webs ",Carbohydrates,,,,,,,,,
183,Describe the intake of carbon dioxide and water by plants,Glycogen from glucose,,,,,,,,,,,,
184,"Identify on diagrams and name the larynx, trachea, bronchi, bronchioles, alveoli and associated capillaries","Cell vacuoles (large, sap-filled in plant cells, small, temporary in animal cells)",Carbohydrate metabolism,"Outline the functions of sensory neurones, relay neurones and motor neurones ",,,,,,,,,,
185,Breakdown of alcohol,,,,,,,,,,,,,
186,Red blood cells – haemoglobin and oxygen transport ,,,,,,,,,,,,,
187,"Define active transport and discuss its importance as an energy-consuming process by which substances are transported against a concentration gradient, as in ion uptake by root hairs and uptake of glucose by cells in the villi",State the functions of the amniotic sac and the amniotic fluid,,,,,,,,,,,,
188,Fats (ethanol emulsion),"Define and state the equation, in words only, for anaerobic respiration in humans",Breakdown of red blood cells,Conduction and support – xylem vessels,Cytoplasm,,,,,,,,,
189,Discuss the function of the brain and spinal cord in producing a co-ordinated response as a result of a specific stimulus in a reflex action,Golgi body ,"Explain co-dominance and multiple alleles with reference to the inheritance of the ABO blood group phenotypes (A, B, AB and O) and the gene alleles (Iᴬ, Iᴮ and Iᴼ)",Describe the intake of carbon dioxide and water by plants,,,,,,,,,,
190,"Explain why observed ratios often differ from expected ratios, especially when there are small numbers of progeny ",Chloroplasts,"Describe the function of the placenta and umbilical cord in relation to exchange of dissolved nutrients, gases and excretory products (structural details are not required)",,,,,,,,,,,
191,"Predict the results of simple crosses with expected ratios of 3:1 and 1:1, using the terms homozygous, heterozygous, F1 generation and F2 generation ",,,,,,,,,,,,,
192,"Identify on a diagram of the skin: hairs, sweat glands, temperature receptors, blood vessels and fatty tissue",,,,,,,,,,,,,
193,"Briefly describe the menstrual cycle with reference to the alternation of menstruation and ovulation, the natural variation in its length, and the fertile and infertile phases of the cycle with reference to the effects of progesterone and estrogen only",,,,,,,,,,,,,
194,"Describe coronary heart disease in terms of the occlusion of coronary arteries and list the possible causes, such as diet, stress and smoking, stating the possible preventative measures",,,,,,,,,,,,,
195,List the different ABO blood groups and all possible combinations for the donor and recipient in blood transfusions,Outline the mechanism of dialysis in the case of kidney failure,Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ,,,,,,,,,,,
196,Conduction and support – xylem vessels,,,,,,,,,,,,,
197,"Explain the terms dominant, recessive, codominant, homozygous, heterozygous, phenotype and genotype ",Discuss the spread of human immunodeficiency virus (HIV) and methods by which it may be controlled,"Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,,,,,,,,,
198,"Explain the terms dominant, recessive, codominant, homozygous, heterozygous, phenotype and genotype ",How wilting occurs,"Describe the removal of carbon dioxide from the lungs, including the role of the carbonic anhydrase enzyme","State the structure of DNA in terms of the bases, sugar and phosphate groups found in each of their nucleotides ",List the different ABO blood groups and all possible combinations for the donor and recipient in blood transfusions,,,,,,,,,
199,Reducing sugars (Benedict's solution),,,,,,,,,,,,,
